Date:,4/9/2019,Time:,2:02 PM,Operator:,Kurby
Date,Time,Runtime (h),Iteration,Permeate Conductivity [High] (uS),Permeate Conductivity [Low] (uS),Reject Conductivity (mS),Feed Pressure (psi),Feed Volume (L),Feed Temperature (C),Permeate Flowrate (L/min),Reject Flowrate (L/min),Feed Flowrate (L/min),Feed Pump Power (%),Temperatre Valve Open (%),Reject Valve Open (%),Water Flux (LMH),Total Permeate  (L),Permeate Tank Level,Feed Cleaning Valve State,Permeate Discharge Valve State,System Mode
4/9/2019,2:02:55 PM,0.003384,0.000000,-22.462938,-4.723977,9.748888,1.614088,20.835014,17.569899,0.023668,0.055030,0.078698,0.000000,80.000000,100.000000,0.527123,0.000000,FULL,CLOSED,OPEN,SYSTEM MODE: Manual
4/9/2019,2:03:55 PM,0.020077,241.000000,-24.238437,-4.572923,9.875591,4.066646,20.675066,15.394354,0.023668,0.811878,0.835546,10.000000,80.000000,100.000000,0.527123,0.023608,FULL,CLOSED,OPEN,SYSTEM MODE: Manual
4/9/2019,2:04:55 PM,0.036743,481.000000,-26.672729,-4.550606,9.341227,47.429915,20.543794,19.069546,0.023668,3.362126,3.385794,30.000000,80.000000,100.000000,0.527123,0.047176,FULL,CLOSED,OPEN,SYSTEM MODE: Manual
4/9/2019,2:05:55 PM,0.053410,721.000000,-25.389352,-4.385096,9.526846,99.710238,20.497742,18.903384,0.023668,4.856615,4.880282,44.720885,80.000000,100.000000,0.527123,0.070548,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Water Flux (Fixed)
4/9/2019,2:06:55 PM,0.070077,961.000000,252.405910,531.234755,12.251616,425.738974,19.685674,18.574284,1.235732,4.102353,5.338085,50.243803,80.000000,25.000000,27.521864,0.546671,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Water Flux (Fixed)
4/9/2019,2:07:55 PM,0.086744,1201.000000,7.160871,64.889088,11.733318,284.685686,19.911525,18.953672,0.840330,3.523718,4.364048,40.581051,80.000000,25.000000,18.715595,1.575400,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Water Flux (Fixed)
4/9/2019,2:08:55 PM,0.103410,1441.000000,-8.066311,43.730653,11.566213,253.284929,19.959885,19.049239,0.763646,3.322366,4.086011,37.499671,80.000000,25.000000,17.007695,2.355437,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Water Flux (Fixed)
4/9/2019,2:09:55 PM,0.120076,1681.000000,-8.908269,39.698326,11.459251,255.109611,19.657680,19.035519,0.729396,3.250887,3.980282,36.472462,80.000000,25.000000,16.244895,3.053246,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Water Flux (Fixed)
4/9/2019,2:10:55 PM,0.136743,1921.000000,-7.085381,38.672555,11.401561,238.998324,19.879103,18.957169,0.662860,3.232492,3.895352,36.142822,80.000000,25.000000,14.763022,3.807890,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Water Flux (Fixed)
4/9/2019,2:11:55 PM,0.153410,2161.000000,-7.351842,37.739984,11.415943,238.306196,19.938759,18.932540,0.660085,3.117754,3.777839,36.078832,80.000000,25.000000,14.701229,4.486089,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Water Flux (Fixed)
