Date:,4/30/2019,Time:,4:57 PM,Operator:,
Date,Time,Runtime (h),Iteration,Permeate Conductivity [High] (uS),Permeate Conductivity [Low] (uS),Reject Conductivity (mS),Feed Pressure (psi),Feed Volume (L),Feed Temperature (C),Permeate Flowrate (L/min),Reject Flowrate (L/min),Feed Flowrate (L/min),Feed Pump Power (%),Temperatre Valve Open (%),Reject Valve Open (%),Water Flux (LMH),Total Permeate  (L),Permeate Tank Level,Feed Cleaning Valve State,Permeate Discharge Valve State,System Mode
4/30/2019,4:57:04 PM,0.000767,0.000000,-9.045583,-7.455942,52.515940,2.774461,20.861060,20.083740,0.023668,0.055030,0.078698,0.000000,80.000000,100.000000,0.527123,0.000000,FULL,CLOSED,OPEN,SYSTEM MODE: Manual
4/30/2019,4:58:04 PM,0.017447,241.000000,-10.794882,-7.538713,50.818127,2.575077,20.999560,19.251626,0.023668,0.055030,0.078698,0.000000,80.000000,35.000000,0.527123,0.035198,FULL,CLOSED,OPEN,SYSTEM MODE: Manual
4/30/2019,4:59:04 PM,0.034113,481.000000,1564.340788,-7.438887,61.513213,674.403366,20.198620,20.002923,0.023668,6.556236,6.579903,75.404723,80.000000,35.000000,0.527123,0.114802,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Fixed)
4/30/2019,5:00:04 PM,0.050780,721.000000,802.601399,1029.524890,61.435631,550.880583,20.486110,19.980762,0.426930,6.205020,6.631950,66.439061,80.000000,35.000000,9.508469,0.644782,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
4/30/2019,5:01:04 PM,0.067447,961.000000,539.732450,624.753880,60.902190,492.905226,20.462796,19.979871,0.361830,6.311847,6.673677,63.211073,80.000000,35.000000,8.058584,1.458944,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
4/30/2019,5:02:04 PM,0.084113,1201.000000,520.877524,569.549540,60.670352,631.238029,20.678650,19.957368,0.470173,6.381502,6.851675,64.202920,80.000000,35.000000,10.471562,2.310515,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
4/30/2019,5:03:04 PM,0.100780,1441.000000,521.904225,565.705007,60.524673,710.694458,20.279062,19.917851,0.970194,6.937564,7.907758,75.035842,80.000000,35.000000,21.607887,3.212099,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
4/30/2019,5:04:04 PM,0.117447,1681.000000,508.951136,554.478905,59.678747,399.019893,20.848981,19.979391,0.068488,5.034109,5.102598,47.601041,80.000000,33.000000,1.525353,3.948757,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): Low
4/30/2019,5:05:04 PM,0.134114,1921.000000,553.470283,642.015413,61.126212,490.379136,20.384663,19.820432,0.267942,5.749061,6.017003,62.088221,80.000000,33.000000,5.967529,4.654491,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
4/30/2019,5:06:04 PM,0.150780,2161.000000,521.657375,579.713034,60.850158,469.941631,20.392216,19.804858,0.095376,5.626005,5.721380,56.471010,80.000000,33.000000,2.124182,5.447074,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
4/30/2019,5:07:04 PM,0.167447,2401.000000,542.405504,591.727215,60.254580,597.368330,20.598205,19.716222,0.356988,6.255950,6.612938,57.966455,80.000000,33.000000,7.950740,6.183703,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
