Date:,5/1/19,Time:,9:43 AM,Operator:,,,,,,,,,,,,,,,,,
Date,Time,Runtime (h),Iteration,Permeate Conductivity [High] (uS),Permeate Conductivity [Low] (uS),Reject Conductivity (mS),Feed Pressure (psi),Feed Volume (L),Feed Temperature (C),Permeate Flowrate (L/min),Reject Flowrate (L/min),Feed Flowrate (L/min),Feed Pump Power (%),Temperatre Valve Open (%),Reject Valve Open (%),Water Flux (LMH),Total Permeate  (L),Permeate Tank Level,Feed Cleaning Valve State,Permeate Discharge Valve State,System Mode
5/1/19,9:49:31 AM,16.845749,1432,788.93388,790.67199,57.2103,590.420123,20.393517,19.454285,0.453025,4.949254,5.402279,59.999825,80,23,10.08964,1.7339,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/1/19,9:50:31 AM,16.862415,1672,666.135653,781.59342,61.167075,907.318592,20.656154,19.314057,1.267439,6.03424,7.301679,66.408318,80,23,28.228037,2.438425,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/1/19,9:51:31 AM,16.879082,1912,664.481172,722.348763,60.987424,448.234305,20.059613,19.269257,0.119354,4.576371,4.695725,42.396123,80,23,2.65822,3.120359,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/1/19,9:52:31 AM,16.895749,2152,654.451223,713.309629,61.063322,826.109835,20.374496,19.391854,1.044966,5.516353,6.561319,71.162463,80,23,23.273188,3.869788,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/1/19,9:53:31 AM,16.912415,2392,661.137882,718.414961,60.609752,288.404258,20.459777,19.618254,0.058022,3.370788,3.42881,30.425029,80,23,1.292244,4.551782,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): Low
5/1/19,9:54:31 AM,16.929082,2632,740.093827,871.109192,61.182683,598.384978,20.351484,19.315358,0.608427,5.044808,5.653235,47.909462,80,23,13.550708,5.153027,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/1/19,9:55:31 AM,16.945749,2872,666.354725,736.392295,61.100816,534.750989,20.316656,19.353571,0.373261,4.794603,5.167864,55.692713,80,23,8.313168,5.858961,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/1/19,9:56:31 AM,16.962415,3112,652.25727,726.374497,61.152228,899.7513,21.008944,19.365854,1.338311,6.010849,7.34916,70.715817,80,23,29.806482,6.64605,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/1/19,9:57:31 AM,16.979082,3352,663.604886,722.463012,61.168759,473.671619,20.922653,19.308841,0.128308,4.643115,4.771423,43.599649,80,23,2.857639,7.34369,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/1/19,9:58:31 AM,16.995749,3592,841.48016,835.779915,60.966609,526.785399,19.978483,19.363039,0.123497,4.420128,4.543626,44.163937,80,23,2.750501,7.878383,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
