Date:,5/2/2019,Time:,9:14 AM,Operator:,
Date,Time,Runtime (h),Iteration,Permeate Conductivity [High] (uS),Permeate Conductivity [Low] (uS),Reject Conductivity (mS),Feed Pressure (psi),Feed Volume (L),Feed Temperature (C),Permeate Flowrate (L/min),Reject Flowrate (L/min),Feed Flowrate (L/min),Feed Pump Power (%),Temperatre Valve Open (%),Reject Valve Open (%),Water Flux (LMH),Total Permeate  (L),Permeate Tank Level,Feed Cleaning Valve State,Permeate Discharge Valve State,System Mode
5/2/2019,9:15:00 AM,0.000784,0.000000,1269.078501,1388.256608,57.176019,498.669244,20.936752,17.362713,0.172882,4.403186,4.576067,0.000000,80.000000,100.000000,3.850373,0.000000,FULL,CLOSED,OPEN,SYSTEM MODE: Manual
5/2/2019,9:16:00 AM,0.017464,227.000000,-72.762943,-4.075127,53.282142,4.122559,20.659991,17.074982,0.086772,0.055030,0.141802,0.000000,80.000000,23.000000,1.932570,0.092567,FULL,CLOSED,OPEN,SYSTEM MODE: Manual
5/2/2019,9:17:00 AM,0.034131,467.000000,-83.116568,-3.979232,57.530578,521.615474,19.948768,17.313247,0.023668,4.611000,4.634668,46.586742,80.000000,23.000000,0.527123,0.124020,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Fixed)
5/2/2019,9:18:00 AM,0.050798,707.000000,781.509905,1599.222285,61.677566,651.228723,19.682355,16.947374,0.673203,5.187951,5.861154,59.400582,80.000000,23.000000,14.993377,0.595599,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Fixed)
5/2/2019,9:19:00 AM,0.067464,947.000000,685.382951,855.807523,61.471899,788.408989,20.040053,17.218915,0.791166,5.184699,5.975865,68.459639,80.000000,23.000000,17.620627,1.109690,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/2/2019,9:20:00 AM,0.084131,1187.000000,543.291576,651.967400,61.625231,777.826486,20.313913,17.290950,0.903592,5.991331,6.894923,57.663113,80.000000,23.000000,20.124544,1.811105,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/2/2019,9:21:00 AM,0.100797,1427.000000,550.663229,613.744611,61.637168,469.141957,19.750528,17.374168,0.065797,4.365056,4.430853,46.380993,80.000000,23.000000,1.465403,2.481523,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/2/2019,9:22:00 AM,0.117464,1667.000000,551.034294,605.698343,61.408396,875.914251,20.560444,17.592676,1.198674,6.080550,7.279225,73.007786,80.000000,23.000000,26.696537,3.197256,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/2/2019,9:23:00 AM,0.134131,1907.000000,553.208676,605.699611,55.044529,892.426937,19.879803,17.763437,1.388658,6.181485,7.570143,74.282081,80.000000,23.000000,30.927787,3.699929,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/2/2019,9:24:00 AM,0.150797,2147.000000,586.844472,686.052869,61.543513,564.444854,19.595281,17.574909,0.203840,4.917949,5.121788,44.299384,80.000000,23.000000,4.539864,4.429558,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/2/2019,9:25:00 AM,0.167464,2387.000000,567.641367,619.807432,61.356210,616.649990,20.220912,17.696476,0.691801,5.000670,5.692471,67.334739,80.000000,23.000000,15.407596,5.119657,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/2/2019,9:26:00 AM,0.184131,2627.000000,547.151532,604.719806,61.385897,780.669239,19.929942,17.767964,1.094660,5.965738,7.060397,65.971441,80.000000,23.000000,24.379945,5.743375,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/2/2019,9:27:00 AM,0.200797,2867.000000,560.630993,604.738192,61.501741,567.601422,20.214559,17.831561,0.327408,5.262193,5.589601,48.717761,80.000000,23.000000,7.291939,6.422280,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): Ramp Down
5/2/2019,9:28:00 AM,0.217464,3107.000000,647.092670,717.152767,61.740456,510.614184,20.883953,17.902294,0.054321,4.576022,4.630343,47.195140,80.000000,23.000000,1.209828,6.906659,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/2/2019,9:29:00 AM,0.234131,3347.000000,562.627182,625.697039,61.502960,860.559891,20.760105,18.059057,1.321042,6.132003,7.453046,73.895358,80.000000,23.000000,29.421876,7.590138,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/2/2019,9:30:00 AM,0.250798,3587.000000,563.379254,607.805170,61.345654,596.071359,20.052624,18.050000,0.400242,5.059913,5.460156,48.745032,80.000000,23.000000,8.914082,8.317811,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/2/2019,9:31:00 AM,0.267464,3827.000000,565.952479,606.739900,61.340144,620.975266,20.199498,18.129240,0.431069,4.958160,5.389229,57.585461,80.000000,23.000000,9.600645,9.038561,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/2/2019,9:32:00 AM,0.284131,4067.000000,713.031839,647.924548,60.855668,664.073256,20.351628,18.236196,0.782462,5.225420,6.007881,67.762177,80.000000,23.000000,17.426765,9.525756,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/2/2019,9:33:00 AM,0.300798,4307.000000,569.823877,657.935752,61.438999,793.876374,20.315033,18.156409,0.952712,6.216057,7.168769,60.670855,80.000000,23.000000,21.218524,10.236948,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/2/2019,9:34:00 AM,0.317464,4547.000000,561.767230,607.795914,61.456594,454.549876,19.955746,18.222681,0.123631,4.402211,4.525842,43.992907,80.000000,23.000000,2.753484,10.868412,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/2/2019,9:35:00 AM,0.334131,4787.000000,563.084975,604.689627,61.402428,851.958495,19.519011,18.423559,1.222871,5.705875,6.928746,74.770514,80.000000,23.000000,27.235440,11.539114,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/2/2019,9:36:00 AM,0.350797,5027.000000,556.421201,599.581631,57.617807,316.931781,20.191642,18.877176,0.023668,3.517552,3.541220,32.412899,80.000000,23.000000,0.527123,12.174082,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): Ramp Up
5/2/2019,9:37:00 AM,0.367464,5267.000000,599.155025,691.998777,61.191406,511.598030,20.698897,18.413405,0.252352,4.988353,5.240705,45.286867,80.000000,23.000000,5.620315,12.805302,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/2/2019,9:38:00 AM,0.384131,5507.000000,561.407609,609.670185,61.143659,584.065549,20.452307,19.006704,0.646682,5.120802,5.767483,65.245996,80.000000,23.000000,14.402707,13.524473,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/2/2019,9:39:00 AM,0.400797,5747.000000,568.007539,606.720246,61.586208,880.191520,21.020974,19.382591,1.256216,6.353951,7.610167,67.744694,80.000000,23.000000,27.978085,14.220809,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/2/2019,9:40:00 AM,0.417464,5987.000000,569.730677,604.740855,60.619547,502.681211,21.165789,18.614143,0.066014,4.230381,4.296395,45.251793,80.000000,23.000000,1.470247,14.932901,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/2/2019,9:41:00 AM,0.434131,6227.000000,688.020019,709.140734,61.059340,459.105678,20.945246,18.700997,0.023668,4.310864,4.334532,47.666222,80.000000,23.000000,0.527123,15.466765,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/2/2019,9:42:00 AM,0.450797,6467.000000,577.231437,633.847033,60.875250,833.545280,19.266587,18.787991,1.184563,5.772489,6.957052,75.225417,80.000000,23.000000,26.382248,16.155718,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/2/2019,9:43:00 AM,0.467464,6707.000000,568.135068,611.825579,61.021853,619.265526,20.246667,18.754030,0.442756,5.079343,5.522099,48.684989,80.000000,23.000000,9.860943,16.918478,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
5/2/2019,9:44:00 AM,0.484131,6947.000000,544.617449,583.587619,60.986959,633.636591,20.271966,18.849461,0.484871,4.921516,5.406387,59.218298,80.000000,23.000000,10.798919,17.623879,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Feed Pressure (Cycle): High
