Date:,5/16/2019,Time:,12:10 PM,Operator:,EXPERIMENT 4C
Date,Time,Runtime (h),Iteration,Permeate Conductivity [High] (uS),Permeate Conductivity [Low] (uS),Reject Conductivity (mS),Feed Pressure (psi),Feed Volume (L),Feed Temperature (C),Permeate Flowrate (L/min),Reject Flowrate (L/min),Feed Flowrate (L/min),Feed Pump Power (%),Temperatre Valve Open (%),Reject Valve Open (%),Water Flux (LMH),Total Permeate  (L),AC Current (A),Permeate Tank Level,Feed Cleaning Valve State,Permeate Discharge Valve State,System Mode,Status,Code,Source,LJ String
5/16/2019,12:10:14 PM,0.002856,0.000000,-28.928868,5.993804,53.311216,1.394005,21.215220,13.568627,0.023668,0.055030,0.078698,0.000000,80.000000,100.000000,0.527123,0.000000,0.380543,FULL,CLOSED,OPEN,SYSTEM MODE: Manual,NO ERROR,0,,No Error
5/16/2019,12:11:15 PM,0.019549,229.000000,-26.452040,6.052926,53.410832,1.390198,21.173754,13.781098,0.023668,0.055030,0.078698,0.000000,80.000000,100.000000,0.527123,0.023708,0.413222,FULL,CLOSED,OPEN,SYSTEM MODE: Manual,NO ERROR,0,,No Error
5/16/2019,12:12:15 PM,0.036215,469.000000,-28.152292,5.967556,54.524553,427.625950,20.971182,12.262038,0.023668,4.009242,4.032910,40.000000,80.000000,21.000000,0.527123,0.047078,6.165941,FULL,CLOSED,OPEN,SYSTEM MODE: Manual,NO ERROR,0,,No Error
5/16/2019,12:13:15 PM,0.052882,709.000000,1599.114479,2014.806780,60.494373,719.341243,20.123178,12.633739,0.717961,5.333482,6.051443,60.000000,80.000000,21.000000,15.990230,0.102259,9.394538,FULL,CLOSED,OPEN,SYSTEM MODE: Manual,NO ERROR,0,,No Error
5/16/2019,12:14:15 PM,0.069549,949.000000,521.896097,1003.895517,61.388807,729.302779,20.371959,13.192601,0.677493,5.370199,6.047692,57.302875,80.000000,21.000000,15.088934,0.768686,9.074366,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Water Flux (Fixed),NO ERROR,0,,No Error
5/16/2019,12:15:15 PM,0.086215,1189.000000,466.704542,722.532627,61.851093,690.246250,20.366870,13.688068,0.699724,5.239778,5.939503,57.583148,80.000000,21.000000,15.584061,1.435343,9.093561,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Water Flux (Fixed),NO ERROR,0,,No Error
5/16/2019,12:16:15 PM,0.102882,1429.000000,473.562765,600.074133,61.850177,672.091171,19.595160,14.125839,0.670985,5.223147,5.894133,57.471236,80.000000,21.000000,14.943995,2.105485,9.049095,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Water Flux (Fixed),NO ERROR,0,,No Error
5/16/2019,12:17:15 PM,0.119548,1669.000000,480.888647,568.953186,61.781776,700.567080,20.424540,14.542138,0.658858,5.085097,5.743955,57.258207,80.000000,21.000000,14.673901,2.772273,8.983187,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Water Flux (Fixed),NO ERROR,0,,No Error
5/16/2019,12:18:15 PM,0.136215,1909.000000,481.166591,549.808252,61.825845,686.224544,20.307551,14.943478,0.710676,5.405322,6.115998,57.107409,80.000000,21.000000,15.827979,3.487060,8.971348,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Water Flux (Fixed),NO ERROR,0,,No Error
5/16/2019,12:19:15 PM,0.152882,2149.000000,483.285336,544.656891,61.776576,668.591708,20.068359,15.324856,0.660334,5.296344,5.956678,56.998306,80.000000,21.000000,14.706772,4.146345,8.952102,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Water Flux (Fixed),NO ERROR,0,,No Error
