Date:,5/17/2019,Time:,9:38 AM,Operator:,
Date,Time,Runtime (h),Iteration,Permeate Conductivity [High] (uS),Permeate Conductivity [Low] (uS),Reject Conductivity (mS),Feed Pressure (psi),Feed Volume (L),Feed Temperature (C),Permeate Flowrate (L/min),Reject Flowrate (L/min),Feed Flowrate (L/min),Feed Pump Power (%),Temperatre Valve Open (%),Reject Valve Open (%),Water Flux (LMH),Total Permeate  (L),AC Current (A),Permeate Tank Level,Feed Cleaning Valve State,Permeate Discharge Valve State,System Mode,Status,Code,Source,LJ String
5/17/2019,9:38:56 AM,0.003390,0.000000,-19.425369,7.161468,60.962324,3.145390,20.772831,21.107403,0.023668,0.055030,0.078698,0.000000,80.000000,100.000000,0.527123,0.000000,0.383574,FULL,CLOSED,OPEN,SYSTEM MODE: Manual,NO ERROR,0,,No Error
5/17/2019,9:39:56 AM,0.020973,241.000000,-18.452607,7.228451,60.844958,2.433748,20.751504,20.974169,0.023668,0.055030,0.078698,0.000000,80.000000,100.000000,0.527123,0.023390,0.414764,FULL,CLOSED,OPEN,SYSTEM MODE: Manual,NO ERROR,0,,No Error
5/17/2019,9:40:56 AM,0.037640,481.000000,-18.949622,7.191678,60.872503,2.426611,20.794052,20.840939,0.023668,0.055030,0.078698,0.000000,80.000000,100.000000,0.527123,0.046665,0.410988,FULL,CLOSED,OPEN,SYSTEM MODE: Manual,NO ERROR,0,,No Error
5/17/2019,9:41:56 AM,0.054306,721.000000,-20.278770,7.351925,60.856429,2.337150,20.750853,20.695975,0.023668,0.055030,0.078698,15.000000,80.000000,100.000000,0.527123,0.072303,0.413954,FULL,CLOSED,OPEN,SYSTEM MODE: Manual,NO ERROR,0,,No Error
5/17/2019,9:42:56 AM,0.070973,961.000000,-20.247717,7.170661,44.374232,3.891293,20.680647,21.228695,0.094061,1.978114,2.072175,20.000000,80.000000,100.000000,2.094905,0.151120,2.204084,FULL,CLOSED,OPEN,SYSTEM MODE: Manual,NO ERROR,0,,No Error
5/17/2019,9:43:56 AM,0.087640,1201.000000,-18.609572,7.186416,53.859962,63.979927,20.708026,21.313903,0.023668,3.558474,3.582142,35.000000,80.000000,100.000000,0.527123,0.226086,3.532804,FULL,CLOSED,OPEN,SYSTEM MODE: Manual,NO ERROR,0,,No Error
5/17/2019,9:44:56 AM,0.104307,1441.000000,-26.989894,7.277048,56.018229,467.222134,20.501677,21.092308,0.023668,4.150575,4.174243,45.000000,80.000000,21.000000,0.527123,0.249458,7.208345,FULL,CLOSED,OPEN,SYSTEM MODE: Manual,NO ERROR,0,,No Error
5/17/2019,9:45:56 AM,0.120973,1681.000000,3617.199767,2015.007889,60.109972,656.331071,20.628508,20.762453,0.648284,4.990352,5.638635,60.000000,80.000000,21.000000,14.438387,0.470597,8.935480,FULL,CLOSED,OPEN,SYSTEM MODE: Manual,NO ERROR,0,,No Error
5/17/2019,9:46:56 AM,0.137640,1921.000000,2219.926508,2014.739828,60.539513,653.686042,20.476933,20.836683,0.683389,4.857108,5.540497,60.000000,80.000000,21.000000,15.220238,1.131870,8.858701,FULL,CLOSED,OPEN,SYSTEM MODE: Manual,NO ERROR,0,,No Error
5/17/2019,9:47:56 AM,0.154306,2161.000000,1029.480320,1908.199138,60.442194,646.773989,20.475848,20.902476,0.683565,5.088924,5.772489,59.720819,80.000000,21.000000,15.224163,1.734761,8.767561,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Water Flux (Fixed),NO ERROR,0,,No Error
