Date:,7/9/2019,Time:,2:37 PM,Operator:,
Date,Time,Runtime (h),Iteration,Permeate Conductivity [High] (uS),Permeate Conductivity [Low] (uS),Reject Conductivity (mS),Feed Pressure (psi),Feed Volume (L),Feed Temperature (C),Permeate Flowrate (L/min),Reject Flowrate (L/min),Feed Flowrate (L/min),Feed Pump Power (%),Temperatre Valve Open (%),Reject Valve Open (%),Water Flux (LMH),Total Permeate  (L),AC Current (A),Permeate Tank Level,Feed Cleaning Valve State,Permeate Discharge Valve State,System Mode,Status,Code,Source,LJ String
7/9/2019,2:37:56 PM,0.000632,0.000000,-20.862396,7.806386,43.341616,-5.600262,21.855083,18.510549,0.023668,0.055030,0.078698,0.000000,80.000000,100.000000,0.527123,0.000000,0.389794,FULL,CLOSED,OPEN,SYSTEM MODE: Manual,NO ERROR,0,,No Error
7/9/2019,2:38:56 PM,0.018131,241.000000,-23.331057,7.862845,43.250103,52.546616,21.920729,19.595062,0.023668,1.448890,1.472558,15.000000,80.000000,20.000000,0.527123,0.023569,1.702207,FULL,CLOSED,OPEN,SYSTEM MODE: Manual,NO ERROR,0,,No Error
7/9/2019,2:39:56 PM,0.034798,481.000000,-22.868410,8.025724,42.245342,119.953041,21.438184,22.029938,0.066846,2.318424,2.385270,22.000000,80.000000,20.000000,1.488784,0.064569,2.833334,FULL,CLOSED,OPEN,SYSTEM MODE: Manual,NO ERROR,0,,No Error
7/9/2019,2:40:56 PM,0.051464,721.000000,-22.363227,7.835266,43.788294,258.708379,21.630122,22.046129,0.066846,3.030620,3.097466,30.000000,80.000000,20.000000,1.488784,0.130581,4.371931,FULL,CLOSED,OPEN,SYSTEM MODE: Manual,NO ERROR,0,,No Error
7/9/2019,2:41:56 PM,0.068131,961.000000,-20.388306,7.929829,45.045856,337.430001,19.759274,21.277131,0.023668,4.061038,4.084706,42.000000,80.000000,20.000000,0.527123,0.173475,6.389759,FULL,CLOSED,OPEN,SYSTEM MODE: Manual,NO ERROR,0,,No Error
7/9/2019,2:42:56 PM,0.084798,1201.000000,2316.725277,2014.675666,48.169409,544.721904,21.302582,20.157696,0.510018,4.342017,4.852035,48.000000,80.000000,20.000000,11.358971,0.196848,7.244252,FULL,CLOSED,OPEN,SYSTEM MODE: Manual,NO ERROR,0,,No Error
7/9/2019,2:43:56 PM,0.101464,1441.000000,669.931844,948.357431,48.983351,580.237453,20.321674,19.895623,0.788463,4.785773,5.574236,55.000000,80.000000,20.000000,17.560433,0.697805,8.162903,FULL,CLOSED,OPEN,SYSTEM MODE: Manual,NO ERROR,0,,No Error
7/9/2019,2:44:56 PM,0.118131,1681.000000,341.463776,391.650091,50.223775,569.838271,18.460521,19.483030,0.698194,4.823593,5.521787,52.575499,80.000000,20.000000,15.549978,1.475434,7.864238,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Water Flux (Fixed),NO ERROR,0,,No Error
7/9/2019,2:45:56 PM,0.134798,1921.000000,325.366818,353.642677,49.881611,598.699942,22.196647,19.512599,0.664941,4.797519,5.462460,52.051860,80.000000,20.000000,14.809367,2.141246,7.785707,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Water Flux (Fixed),NO ERROR,0,,No Error
7/9/2019,2:46:56 PM,0.151464,2161.000000,317.135292,345.620120,49.796066,600.359381,22.443117,19.399057,0.662884,4.568449,5.231333,51.865893,80.000000,20.000000,14.763563,2.803638,7.749852,FULL,CLOSED,OPEN,SYSTEM MODE: Auto Water Flux (Fixed),NO ERROR,0,,No Error
